codigo,descripcion
J02,Faringitis aguda
J03,Amigdalitis aguda
J04,Laringitis y traqueítis agudas
J05,Laringitis obstructiva aguda y epiglotitis
J06,Infecciones agudas de las vías respiratorias superiores de sitios múltiples o no especificados
J09,Influenza debida a ciertos virus de la influenza identificados
J10,Influenza debida a otro virus de la influenza identificado
J11,Influenza debida a virus no identificado
J12,Neumonía viral
J13,Neumonía debida a Streptococcus pneumoniae
J14,Neumonía debida a Haemophilus influenzae
J15,Neumonía bacteriana no clasificada en otra parte
J16,Neumonía debida a otros microorganismos infecciosos
J17,Neumonía en enfermedades clasificadas en otra parte
J18,"Neumonía, microorganismo no especificado"
J20,Bronquitis aguda
J21,Bronquiolitis aguda
J22,Infección aguda no especificada de las vías respiratorias inferiores
J30,Rinitis alérgica y vasomotora
J31,"Rinitis, rinofaringitis y faringitis crónicas"
J32,Sinusitis crónica
J33,Pólipo nasal
J34,Otros trastornos de la nariz y de los senos paranasales
J35,Enfermedades crónicas de las amígdalas y de las vegetaciones adenoides
J36,Absceso periamigdalino
J37,Laringitis y laringotraqueítis crónicas
J38,Enfermedades de las cuerdas vocales y de la laringe
J39,Otras enfermedades de las vías respiratorias superiores
J40,Bronquitis no especificada como aguda o crónica
J41,Bronquitis crónica simple y mucopurulenta
J42,Bronquitis crónica no especificada
J43,Enfisema
J44,Otras enfermedades pulmonares obstructivas crónicas
J45,Asma
J46,Estado asmático
J47,Bronquiectasia
J60,Neumoconiosis de los mineros del carbón
J61,Neumoconiosis debida al amianto y otras fibras minerales
J62,Neumoconiosis debida al polvo que contiene sílice
J63,Neumoconiosis debida a otros polvos inorgánicos
J64,Neumoconiosis no especificada
J65,Neumoconiosis asociada con tuberculosis
J66,Enfermedades de las vías aéreas debidas a polvos orgánicos específicos
J67,Neumonitis por hipersensibilidad debida a polvos orgánicos
J68,"Afecciones respiratorias debidas a inhalación de productos químicos, gases, humos y vapores"
J69,Neumonitis debida a sólidos y líquidos
J70,Afecciones respiratorias debidas a otros agentes externos
J80,Síndrome de dificultad respiratoria del adulto
J81,Edema pulmonar
J82,Eosinofilia pulmonar
J84,Otras enfermedades pulmonares intersticiales
J85,Absceso del pulmón y del mediastino
J86,Piotórax
J90,Derrame pleural
J91,Derrame pleural en afecciones clasificadas en otra parte
J92,Pleura engrosada
J93,Neumotórax
J94,Otras afecciones pleurales
J95,Trastornos respiratorios consecutivos a procedimientos
J96,Insuficiencia respiratoria
J98,Otros trastornos respiratorios
J99,Trastornos respiratorios en enfermedades clasificadas en otra parte
K00,Trastornos del desarrollo y de la erupción de los dientes
K01,Dientes incluidos e impactados
K02,Caries dental
K03,Otras enfermedades de los tejidos duros de los dientes
K04,Enfermedades de la pulpa y de los tejidos periapicales
K05,Gingivitis y enfermedades periodontales
K06,Otros trastornos del tejido blando
K07,Anomalías dentofaciales
K08,Otros trastornos de los dientes y de sus estructuras de sostén
K09,Quistes de la región bucal
K10,Otras enfermedades de los maxilares
K11,Enfermedades de las glándulas salivales
K12,Estomatitis y lesiones afines
K13,Otras enfermedades de los labios y de la mucosa bucal
K14,Enfermedades de la lengua
K20,Esofagitis
K21,Enfermedad de reflujo gastroesofágico
K22,Otras enfermedades del esófago
K23,Trastornos del esófago en enfermedades clasificadas en otra parte
K25,Úlcera gástrica
K26,Úlcera duodenal
K27,Úlcera péptica de sitio no especificado
K28,Úlcera gastrojeyunal
K29,Gastritis y duodenitis
K30,Dispepsia
K31,Otras enfermedades del estómago y del duodeno
K35,Apendicitis aguda con peritonitis generalizada
K36,Otras apendicitis
K37,Apendicitis no especificada
K38,Otras enfermedades del apéndice
K40,Hernia inguinal
K41,Hernia femoral
K42,Hernia umbilical
K43,Hernia ventral
K44,Hernia diafragmática
K45,Otras hernias abdominales
K46,Hernia abdominal no especificada
K50,Enfermedad de Crohn
K51,Colitis ulcerosa
K52,Otras colitis y gastroenteritis no infecciosas
K55,Trastornos vasculares del intestino
K56,Íleo paralítico y obstrucción intestinal sin hernia
K57,Enfermedad diverticular del intestino
K58,Síndrome del colon irritable
K59,Otros trastornos funcionales del intestino
K60,Fisura y fístula de las regiones anal y rectal
K61,Absceso de las regiones anal y rectal
K62,Otras enfermedades del ano y del recto
K63,Otras enfermedades del intestino
K65,Peritonitis
K66,Otros trastornos del peritoneo
K67,Trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte
K70,Enfermedad alcohólica del hígado
K71,Enfermedad tóxica del hígado
K72,Insuficiencia hepática
K73,Hepatitis crónica
K74,Fibrosis y cirrosis hepáticas
K75,Otras enfermedades inflamatorias del hígado
K76,Otras enfermedades del hígado
K77,Trastornos del hígado en enfermedades clasificadas en otra parte
K80,Colelitiasis
K81,Colecistitis
K82,Otras enfermedades de la vesícula biliar
K83,Otras enfermedades de las vías biliares
K85,Pancreatitis aguda
K86,Otras enfermedades del páncreas
K87,"Trastornos de la vesícula biliar, de las vías biliares y del páncreas en enfermedades clasificadas en otra parte"
K90,Malabsorción intestinal
K91,Trastornos del sistema digestivo consecutivos a procedimientos
K92,Otras enfermedades del sistema digestivo
K93,Trastornos de los órganos digestivos en enfermedades clasificadas en otra parte
L00,Síndrome estafilocócico de la piel escaldada
L01,Impétigo
L02,"Absceso cutáneo, furúnculo y carbunco"
L03,Celulitis
L04,Linfadenitis aguda
L05,Quiste pilonidal
L08,Otras infecciones locales de la piel y del tejido subcutáneo
L10,Pénfigo
L11,Otros trastornos acantolíticos
L12,Penfigoide
L13,Otras enfermedades ampollosas
L14,Trastornos ampollosos en enfermedades clasificadas en otra parte
L20,Dermatitis atópica
L21,Dermatitis seborreica
L22,Dermatitis del pañal
L23,Dermatitis alérgica de contacto
L24,Dermatitis de contacto por irritantes
L25,Dermatitis de contacto no especificada
L26,Dermatitis exfoliativa
L27,Dermatitis debida a sustancias tomadas internamente
L28,Liquen simple crónico y prurigo
L29,Prurito
L30,Otras dermatitis
L40,Psoriasis
L41,Parapsoriasis
L42,Pitiriasis rosada
L43,Liquen plano
L44,Otros trastornos papuloescamosos
L45,Trastornos papuloescamosos en enfermedades clasificadas en otra parte
L50,Urticaria
L51,Eritema multiforme
L52,Eritema nudoso
L53,Otras afecciones eritematosas
L54,Eritema en enfermedades clasificadas en otra parte
L55,Quemadura solar
L56,Otros cambios agudos de la piel debidos a radiación ultravioleta
L57,Cambios de la piel debidos a exposición crónica a radiación no ionizante
L58,Radiodermatitis
L59,Otras afecciones de la piel relacionadas con radiación
L60,Trastornos de las uñas
L62,Trastornos de las uñas en enfermedades clasificadas en otra parte
L63,Alopecia areata
L64,Alopecia androgénica
L65,Otras pérdidas no cicatrizales del cabello
L66,Alopecia cicatricial
L67,Anomalías del tallo y del color del cabello
L68,Hipertricosis
L70,Acné
L71,Rosácea
L72,Quistes foliculares de la piel y del tejido subcutáneo
L73,Otros trastornos foliculares
L74,Trastornos de las glándulas sudoríparas ecrinas
L75,Trastornos de las glándulas sudoríparas apocrinas
L80,Vitíligo
L81,Otros trastornos de la pigmentación
L82,Queratosis seborreica
L83,Acantosis nigricans
L84,Callos y callosidades
L85,Otros engrosamiento epidérmicos
L86,Queratoderma en enfermedades clasificadas en otra parte
L87,Trastornos de la eliminación transepidérmica
L88,Pioderma gangrenoso
L89,Úlcera por presión
L90,Afecciones atróficas de la piel
L91,Afecciones hipertróficas de la piel
L92,Trastornos granulomatosos de la piel y del tejido subcutáneo
L93,Lupus eritematoso
L94,Otros trastornos localizados del tejido conjuntivo
L95,Vasculitis limitada a la piel
L97,Úlcera de miembro inferior
L98,Otros trastornos de la piel y del tejido subcutáneo
L99,Otros trastornos de la piel y del tejido subcutáneo en enfermedades clasificadas en otra parte
M00,Artritis piógena
M01,Infecciones directas de la articulación en enfermedades infecciosas clasificadas en otra parte
M02,Artropatías reactivas
M05,Artritis reumatoide seropositiva
M06,Otras artritis reumatoides
M07,Artropatías psoriásicas y enteropáticas
M08,Artritis juvenil
M09,Artritis juvenil en enfermedades clasificadas en otra parte
M10,Gota
M11,Otras artropatías por cristales
M12,Otras artropatías específicas
M13,Otras artritis
M14,Artropatías en otras enfermedades clasificadas en otra parte
M15,Poliartrosis
M16,Coxartrosis
M17,Gonartrosis
M18,Artrosis de la primera articulación carpometacarpiana
M19,Otras artrosis
M20,Deformidades adquiridas de los dedos de la mano
M21,Otras deformidades adquiridas de los miembros
M22,Trastornos de la rótula
M23,Trastornos internos de la rodilla
M24,Otros trastornos articulares específicos
M25,Otros trastornos articulares no clasificados en otra parte
M30,Poliarteritis nudosa y afecciones relacionadas
M31,Otras vasculopatías necrotizantes
M32,Lupus eritematoso sistémico
M33,Dermatopolimiositis
M34,Esclerosis sistémica
M35,Otras afecciones sistémicas del tejido conjuntivo
M36,Trastornos sistémicos del tejido conjuntivo en enfermedades clasificadas en otra parte
M40,Cifosis y lordosis
M41,Escoliosis
M42,Osteocondritis vertebral
M43,Otras dorsopatías deformantes
M45,Espondilitis anquilosante
M46,Otras enfermedades inflamatorias de la columna vertebral
M47,Espondiloartrosis
M48,Otras espondilopatías
M49,Espondilopatías en enfermedades clasificadas en otra parte
M50,Trastornos del disco cervical
M51,Otros trastornos de los discos intervertebrales
M53,Otras dorsopatías
M54,Dorsalgia
M54.5,Lumbago
M60,Miositis
M61,Calcificación y osificación del músculo
M62,Otros trastornos musculares
M63,Trastornos musculares en enfermedades clasificadas en otra parte
M65,Sinovitis y tenosinovitis
M66,Ruptura espontánea de la sinovia y del tendón
M67,Otros trastornos de la sinovia y del tendón
M68,Trastornos de la sinovia y del tendón en enfermedades clasificadas en otra parte
M70,"Trastornos de los tejidos blandos relacionados con el uso, el uso excesivo y la presión"
M71,Otras bursopatías
M72,Trastornos fibroblásticos
M73,Trastornos de los tejidos blandos en enfermedades clasificadas en otra parte
M75,Lesiones del hombro
M76,"Entesopatías del miembro inferior, excluido el pie"
M77,Otras entesopatías
M79,Otros trastornos de los tejidos blandos
M80,Osteoporosis con fractura patológica
M81,Osteoporosis sin fractura patológica
M82,Osteoporosis en enfermedades clasificadas en otra parte
M83,Osteomalacia del adulto
M84,Trastornos de la continuidad del hueso
M85,Otros trastornos de la densidad y de la estructura óseas
M86,Osteomielitis
M87,Osteonecrosis
M88,Enfermedad de Paget del hueso
M89,Otros trastornos óseos
M90,Osteopatías en enfermedades clasificadas en otra parte
M91,Osteocondritis juvenil de la cadera y de la pelvis
M92,Otras osteocondrosis juveniles
M93,Otras osteocondrosis
M94,Otros trastornos del cartílago
M95,Otras deformidades adquiridas del sistema musculoesquelético y del tejido conjuntivo
M96,Trastornos del sistema musculoesquelético consecutivos a procedimientos
M99,Lesiones biomecánicas no clasificadas en otra parte
N00,Síndrome nefrítico agudo
N01,Síndrome nefrítico rápidamente progresivo
N02,Hematuria recurrente y persistente
N03,Síndrome nefrítico crónico
N04,Síndrome nefrótico
N05,Síndrome nefrítico no especificado
N06,Proteinuria aislada con lesión morfológica especificada
N07,Nefropatía hereditaria
N08,Trastornos glomerulares en enfermedades clasificadas en otra parte
N10,Nefritis tubulointersticial aguda
N11,Nefritis tubulointersticial crónica
N12,Nefritis tubulointersticial no especificada como aguda o crónica
N13,Uropatía obstructiva y por reflujo
N14,Afecciones tubulointersticiales y tubulares inducidas por drogas y metales pesados
N15,Otras enfermedades renales tubulointersticiales
N16,Trastornos renales tubulointersticiales en enfermedades clasificadas en otra parte
N17,Insuficiencia renal aguda
N18,Insuficiencia renal crónica
N19,Insuficiencia renal no especificada
N20,Cálculo del riñón y del uréter
N21,Cálculo de las vías urinarias inferiores
N22,Cálculo de las vías urinarias en enfermedades clasificadas en otra parte
N23,Cólico renal no especificado
N25,Trastornos resultantes de la función tubular renal alterada
N26,Riñón contraído no especificado
N27,Riñón pequeño de causa desconocida
N28,Otros trastornos del riñón y del uréter
N29,Otros trastornos del riñón y del uréter en enfermedades clasificadas en otra parte
N30,Cistitis
N31,Disfunción neuromuscular de la vejiga
N32,Otros trastornos de la vejiga
N33,Trastornos de la vejiga en enfermedades clasificadas en otra parte
N34,Uretritis y síndrome uretral
N35,Estrechez uretral
N36,Otros trastornos de la uretra
N37,Trastornos de la uretra en enfermedades clasificadas en otra parte
N39,Otros trastornos del sistema urinario
N40,Hiperplasia de la próstata
N41,Enfermedades inflamatorias de la próstata
N42,Otros trastornos de la próstata
N43,Hidrocele y espermatocele
N44,Torsión del testículo
N45,Orquitis y epididimitis
N46,Infertilidad masculina
N47,"Prepucio redundante, fimosis y parafimosis"
N48,Otros trastornos del pene
N49,Trastornos inflamatorios de los órganos genitales masculinos
N50,Otros trastornos de los órganos genitales masculinos
N51,Trastornos de los órganos genitales masculinos en enfermedades clasificadas en otra parte
N60,Displasia mamaria benigna
N61,Trastornos inflamatorios de la mama
N62,Hipertrofia de la mama
N63,Masa no especificada en la mama
N64,Otros trastornos de la mama
N70,Salpingitis y ooforitis
N71,Enfermedad inflamatoria del útero excepto el cuello uterino
N72,Enfermedad inflamatoria del cuello uterino
N73,Otras enfermedades inflamatorias pélvicas femeninas
N74,Trastornos inflamatorios de la pelvis femenina en enfermedades clasificadas en otra parte
N75,Enfermedades de la glándula de Bartholin
N76,Otras enfermedades inflamatorias de la vagina y de la vulva
N77,Ulceración e inflamación vulvovaginal en enfermedades clasificadas en otra parte
N80,Endometriosis
N81,Prolapso genital femenino
N82,Fístulas que afectan al tracto genital femenino
N83,"Trastornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho"
N84,Pólipo del tracto genital femenino
N85,Otros trastornos no inflamatorios del útero
N86,Erosión y ectropión del cuello del útero
N87,Displasia del cuello uterino
N88,Otros trastornos no inflamatorios del cuello del útero
N89,Otros trastornos no inflamatorios de la vagina
N90,Otros trastornos no inflamatorios de la vulva y del periné
N91,"Menstruación ausente, escasa o rara"
N92,"Menstruación excesiva, frecuente e irregular"
N93,Otras hemorragias uterinas o vaginales anormales
N94,Dolor y otras afecciones asociadas con los órganos genitales femeninos y el ciclo menstrual
N95,Trastornos menopáusicos y perimenopáusicos
N96,Abortadora habitual
N97,Infertilidad femenina
N98,Complicaciones asociadas con la fecundación artificial
N99,Trastornos del sistema genitourinario consecutivos a procedimientos
O00,Embarazo ectópico
O01,Mola hidatiforme
O02,Otros productos anormales de la concepción
O03,Aborto espontáneo
O04,Aborto médico
O08,Complicaciones consecutivas al aborto
O10,Hipertensión preexistente que complica el embarazo
O11,Trastorno hipertensivo preexistente con proteinuria sobreañadida
O12,Edema y proteinuria gestacionales sin hipertensión
O13,Hipertensión gestacional
O14,Preeclampsia
O15,Eclampsia
O20,Hemorragia precoz del embarazo
O21,Vómitos excesivos en el embarazo
O24,Diabetes mellitus en el embarazo
O26,Atención materna por otras afecciones predominantemente relacionadas con el embarazo
O30,Embarazo múltiple
O32,Atención materna por presentación anormal del feto conocida o presunta
O34,Atención materna por anormalidades conocidas o presuntas de los órganos pelvianos de la madre
O36,Atención materna por otros problemas fetales conocidos o presuntos
O42,Ruptura prematura de las membranas
O44,Placenta previa
O45,Desprendimiento prematuro de la placenta
O60,Parto prematuro
O61,Fracaso de la inducción del trabajo de parto
O62,Anormalidades de la dinámica del trabajo de parto
O63,Trabajo de parto prolongado
O64,Trabajo de parto obstruido debido a mala posición y presentación anormal del feto
O68,Trabajo de parto y parto complicados por sufrimiento fetal
O69,Trabajo de parto y parto complicados por complicaciones del cordón umbilical
O70,Desgarro perineal durante el parto
O71,Otros traumatismos obstétricos
O72,Hemorragia posparto
O73,Retención de la placenta y de las membranas
O74,Complicaciones de la anestesia administrada durante el trabajo de parto y el parto
O75,Otras complicaciones del trabajo de parto y del parto
O80,Parto único espontáneo
O82,Parto único por cesárea
O85,Sepsis puerperal
O86,Otras infecciones puerperales
O87,Complicaciones venosas en el puerperio
O90,Complicaciones del puerperio
O94,"Secuelas de complicaciones del embarazo, del parto y del puerperio"
P00,Feto y recién nacido afectados por afecciones de la madre
P05,Crecimiento fetal lento y desnutrición fetal
P07,Trastornos relacionados con la duración corta de la gestación
P10,Hemorragia intracraneal debida a traumatismo del nacimiento
P20,Hipoxia intrauterina
P21,Asfixia del nacimiento
P22,Dificultad respiratoria del recién nacido
P23,Neumonía congénita
P24,Síndromes de aspiración neonatal
P25,Enfisema intersticial y afecciones relacionadas
P28,Otros problemas respiratorios del recién nacido
P29,Trastornos cardiovasculares originados en el período perinatal
P35,Enfermedades virales congénitas
P36,Septicemia bacteriana del recién nacido
P37,Otras enfermedades infecciosas y parasitarias congénitas
P38,Onfalitis del recién nacido
P50,Pérdida de sangre fetal
P51,Hemorragia umbilical del recién nacido
P52,Hemorragia intracraneal no traumática del feto y del recién nacido
P55,Enfermedad hemolítica del feto y del recién nacido
P59,Ictericia neonatal por otras causas
P70,Trastornos transitorios del metabolismo de los carbohidratos
P76,Otras obstrucciones intestinales del recién nacido
P80,Hipotermia del recién nacido
P90,Convulsiones del recién nacido
P91,Otras perturbaciones cerebrales del recién nacido
P94,Trastornos del tono muscular del recién nacido
P96,Otras afecciones originadas en el período perinatal
Q00,Anencefalia y malformaciones similares
Q01,Encefalocele
Q02,Microcefalia
Q03,Hidrocefalia congénita
Q05,Espina bífida
Q10,"Malformaciones congénitas de los párpados, aparato lagrimal y órbita"
Q20,Malformaciones congénitas de las cavidades y conexiones cardíacas
Q21,Malformaciones congénitas de los tabiques cardíacos
Q25,Malformaciones congénitas de los grandes vasos
Q30,Malformaciones congénitas de la nariz
Q35,Paladar hendido
Q36,Labio hendido
Q37,Paladar hendido con labio hendido
Q38,Otras malformaciones congénitas de la lengua
Q39,Malformaciones congénitas del esófago
Q40,Otras malformaciones congénitas de la parte superior del tubo digestivo
Q42,"Ausencia, atresia y estenosis congénitas del intestino grueso"
Q44,"Malformaciones congénitas de la vesícula biliar, de las vías biliares y del hígado"
Q50,"Malformaciones congénitas de los ovarios, las trompas de Falopio y los ligamentos anchos"
Q53,Testículo no descendido
Q54,Hipospadias
Q60,Agenesia renal y otras malformaciones por reducción del riñón
Q65,Deformidades congénitas de la cadera
Q66,Deformidades congénitas de los pies
Q71,Defectos de reducción del miembro superior
Q72,Defectos de reducción del miembro inferior
Q79,Malformaciones congénitas del sistema musculoesquelético
Q80,Ictiosis congénita
Q85,Facomatosis no clasificadas en otra parte
Q87,Otros síndromes de malformaciones congénitas especificadas
Q89,Otras malformaciones congénitas
Q90,Síndrome de Down
Q91,Síndrome de Edwards y síndrome de Patau
Q92,Otras trisomías y trisomías parciales de los autosomas
Q93,Monosomías y deleciones de los autosomas
Q95,Reordenamientos equilibrados y marcadores estructurales
Q96,Síndrome de Turner
Q97,Otras anomalías de los cromosomas sexuales con fenotipo femenino
Q98,Otras anomalías de los cromosomas sexuales con fenotipo masculino
Q99,Otras anomalías cromosómicas
R00,Anomalías del latido cardíaco
R01,Soplos y otros sonidos cardíacos
R04,Hemorragia de las vías respiratorias
R05,Tos
R06,Anormalidades de la respiración
R07,Dolor de garganta y en el pecho
R09,Otros síntomas y signos que afectan el sistema circulatorio y respiratorio
R10,Dolor abdominal y pélvico
R11,Náusea y vómitos
R12,Pirosis
R13,Disfagia
R14,Flatulencia y afecciones afines
R15,Incontinencia fecal
R17,Ictericia no especificada
R18,Ascitis
R19,Otros síntomas y signos que afectan el sistema digestivo
R20,Trastornos de la sensibilidad de la piel
R21,Sarpullido y otras erupciones cutáneas no especificadas
R22,"Tumefacción, masa o bulto localizado de la piel y del tejido subcutáneo"
R25,Movimientos involuntarios anormales
R26,Anormalidades de la marcha y de la movilidad
R27,Otros trastornos de la coordinación
R29,Otros síntomas y signos que afectan los sistemas nervioso y musculoesquelético
R30,Dolor asociado con la micción
R31,Hematuria no especificada
R32,Incontinencia urinaria no especificada
R33,Retención de orina
R34,Anuria y oliguria
R35,Poliuria
R36,Secreción uretral
R39,Otros síntomas y signos que afectan el sistema urinario
R40,"Somnolencia, estupor y coma"
R41,Otros síntomas y signos que afectan la función cognoscitiva
R42,Mareo y desvanecimiento
R43,Trastornos del olfato y del gusto
R44,Otros síntomas y signos que afectan las sensaciones y percepciones generales
R45,Síntomas y signos que afectan el estado emocional
R47,Trastornos del habla
R50,Fiebre de origen desconocido
R51,Cefalea
R52,Dolor no clasificado en otra parte
R53,Malestar y fatiga
R54,Senilidad
R55,Síncope y colapso
R56,Convulsiones no clasificadas en otra parte
R57,Choque no clasificado en otra parte
R58,Hemorragia no clasificada en otra parte
R59,Adenomegalia
R60,Edema no clasificado en otra parte
R61,Hiperhidrosis
R62,Ausencia de la maduración fisiológica normal esperada
R63,Síntomas y signos concernientes a la ingestión de alimentos y líquidos
R64,Caquexia
R68,Otros síntomas y signos generales
R69,Causas de morbilidad desconocidas y no especificadas
R70,Velocidad de sedimentación globular elevada y otras anormalidades de la viscosidad plasmática
R71,Anormalidad de los eritrocitos
R72,Anormalidad de los leucocitos
R73,Glucosa elevada en sangre
R74,Hallazgos anormales de enzimas en suero
R75,Hallazgo de laboratorio anormal relacionado con VIH
R76,Otros hallazgos inmunológicos anormales en suero
R77,Otras anormalidades de las proteínas plasmáticas
R78,Hallazgos de drogas y otras sustancias en sangre
R79,Otros hallazgos anormales de química sanguínea
R80,Proteinuria aislada
R81,Glucosuria
R82,Otros hallazgos anormales en la orina
R83,Hallazgos anormales en el líquido cefalorraquídeo
R84,Hallazgos anormales en muestras tomadas de los órganos respiratorios
R85,Hallazgos anormales en muestras tomadas de los órganos digestivos
R86,Hallazgos anormales en muestras tomadas de los órganos genitales masculinos
R87,Hallazgos anormales en muestras tomadas de los órganos genitales femeninos
R89,Hallazgos anormales en muestras tomadas de otros órganos
R90,Hallazgos anormales en diagnóstico por imagen del sistema nervioso central
R91,Hallazgos anormales en diagnóstico por imagen del pulmón
R92,Hallazgos anormales en diagnóstico por imagen de la mama
R93,Hallazgos anormales en diagnóstico por imagen de otras estructuras del cuerpo
R94,Hallazgos anormales en estudios funcionales
R95,Síndrome de muerte súbita infantil
R96,Otras muertes súbitas de causa desconocida
R98,Muerte sin asistencia
R99,Otras causas de mortalidad mal definidas y no especificadas
S00,Traumatismo superficial de la cabeza
S01,Herida de la cabeza
S02,Fractura de huesos del cráneo y de la cara
S06,Traumatismo intracraneal
S10,Traumatismo superficial del cuello
S20,Traumatismo superficial del tórax
S30,"Traumatismo superficial del abdomen, de la región lumbosacra y de la pelvis"
S40,Traumatismo superficial del hombro y del brazo
S50,Traumatismo superficial del antebrazo y del codo
S60,Traumatismo superficial de la muñeca y de la mano
S70,Traumatismo superficial de la cadera y del muslo
S80,Traumatismo superficial de la pierna y de la rodilla
S90,Traumatismo superficial del tobillo y del pie
T07,Traumatismos múltiples no especificados
T14,Traumatismo de región no especificada del cuerpo
T36,Envenenamiento por antibióticos sistémicos
T39,Envenenamiento por analgésicos no opioides
T40,Envenenamiento por narcóticos y psicodislépticos
T43,Envenenamiento por drogas psicotrópicas
T45,Envenenamiento por agentes sistémicos primariamente hematológicos
T50,Envenenamiento por diuréticos y otras drogas no especificadas
T51,Efecto tóxico del alcohol
T56,Efecto tóxico de los metales
T58,Efecto tóxico del monóxido de carbono
T65,Efecto tóxico de otras sustancias
T66,Efectos no especificados de radiación
T67,Efectos del calor y de la luz
T68,Hipotermia
T71,Asfixia
T74,Síndromes de maltrato
T78,Efectos adversos no clasificados en otra parte
T79,Algunas complicaciones precoces de los traumatismos
T80,"Complicaciones consecutivas a infusión, transfusión e inyección terapéutica"
T81,Complicaciones de procedimientos
T82,Complicaciones de dispositivos protésicos cardíacos y vasculares
T83,Complicaciones de dispositivos protésicos genitourinarios
T84,Complicaciones de dispositivos protésicos ortopédicos internos
T85,Complicaciones de otros dispositivos protésicos internos
T86,Fallo y rechazo de órganos y tejidos trasplantados
T87,Complicaciones peculiares a la reinsertación y amputación
T88,Otras complicaciones de la atención médica y quirúrgica
V01,Peatón lesionado en colisión con bicicleta
V10,Ciclista lesionado en colisión con peatón o animal
V20,Motociclista lesionado en colisión con peatón o animal
V40,Ocupante de automóvil lesionado en colisión con vehículo de motor de 2 o 3 ruedas
V50,Ocupante de camioneta lesionado en colisión con peatón o animal
V60,Ocupante de vehículo de transporte pesado lesionado en colisión con peatón o animal
V80,Otros accidentes de transporte terrestre
V90,Accidente de embarcación
W00,Caída en el mismo nivel por hielo o nieve
W06,Caída de cama
W07,Caída de silla
W10,Caída en escalera y escalones
W11,Caída en escalera de mano
W18,Otras caídas en el mismo nivel
W19,Caída no especificada
W20,"Golpe por objeto lanzado, proyectado o que cae"
W22,Golpe contra objetos
W40,Explosión de otros materiales
W50,"Golpe, mordedura, pateadura, rasguño e pellizco infligidos por otra persona"
W54,Mordedura o ataque de perro
W58,Mordedura o ataque de cocodrilo o caimán
W64,Exposición a otras fuerzas mecánicas animadas
X00,Exposición a fuego no controlado en edificio u otra construcción
X10,"Contacto con bebidas calientes, grasas y aceites culinarios"
X30,Exposición al calor natural excesivo
X31,Exposición al frío natural excesivo
X40,Envenenamiento accidental por analgésicos
X60,Autoenvenenamiento intencional
X70,Lesión autoinfligida intencionalmente por ahorcamiento
X80,Lesión autoinfligida intencionalmente por salto desde lugar elevado
X84,Lesión autoinfligida intencionalmente por otros medios
X85,"Agresión con drogas, medicamentos y sustancias biológicas"
X99,Agresión con objeto cortante
Y00,Agresión con objeto romo o sin filo
Y05,Agresión sexual mediante fuerza física
Y10,"Envenenamiento por analgésicos, evento de intención no determinada"
Z00,Examen general e investigación de personas sin quejas y sin diagnóstico
Z01,Otros exámenes y contactos con servicios de salud
Z02,Exámenes para propósitos administrativos
Z03,Observación y evaluación médica por enfermedades y afecciones sospechosas
Z04,Examen y observación por otras razones
Z08,Examen de seguimiento posterior al tratamiento por tumor maligno
Z09,Examen de seguimiento posterior al tratamiento por otras afecciones
Z10,Examen de salud rutinario de subgrupos específicos de la población
Z11,Examen especial de detección de enfermedades infecciosas y parasitarias
Z12,Examen especial de detección de neoplasias
Z13,Examen especial de detección de otras enfermedades
Z20,Contacto con y exposición a enfermedades transmisibles
Z21,Estado de infección asintomática por VIH
Z22,Portador de enfermedades infecciosas
Z23,Necesidad de inmunización contra enfermedades bacterianas únicas
Z24,Necesidad de inmunización contra ciertas enfermedades virales
Z25,Necesidad de inmunización contra otras enfermedades virales únicas
Z26,Necesidad de inmunización contra otras enfermedades infecciosas únicas
Z27,Necesidad de inmunización contra combinaciones de enfermedades infecciosas
Z28,Inmunización no realizada
Z29,Necesidad de otras medidas profilácticas
Z30,Atención para anticoncepción
Z31,Atención para procreación
Z32,Examen o prueba del embarazo
Z33,Estado de embarazo incidental
Z34,Supervisión de embarazo normal
Z35,Supervisión de embarazo de alto riesgo
Z36,Detección prenatal
Z37,Resultado del parto
Z38,Nacidos vivos según el lugar del nacimiento
Z39,Atención y examen del postparto
Z40,Cirugía profiláctica
Z41,Procedimientos para otros propósitos que no sean mejorar el estado de salud
Z42,Seguimiento que involucra cirugía plástica
Z43,Atención de ostomías artificiales
Z44,Colocación y ajuste de dispositivos protésicos externos
Z45,Ajuste y manejo de dispositivos implantados
Z46,Colocación y ajuste de otros dispositivos
Z47,Otras atenciones de seguimiento ortopédico
Z48,Otras atenciones de seguimiento quirúrgico
Z49,Atención que implica diálisis
Z50,Atención que implica el uso de procedimientos de rehabilitación
Z51,Otra atención médica
Z52,Donantes de órganos y tejidos
Z53,Personas en contacto con los servicios de salud para procedimientos no realizados
Z54,Estado de convalecencia
Z55,Problemas relacionados con la educación y la alfabetización
Z56,Problemas relacionados con el empleo y el desempleo
Z57,Exposición ocupacional a factores de riesgo
Z58,Problemas relacionados con el ambiente físico
Z59,Problemas relacionados con la vivienda y las circunstancias económicas
Z60,Problemas relacionados con el ambiente social
Z61,Problemas relacionados con eventos negativos de la vida en la niñez
Z62,Otros problemas relacionados con la crianza del niño
Z63,Otros problemas relacionados con el grupo de apoyo primario
